park,plot,plot,subplot,PLECON,NAVSQU,PLAFIG,EPIDEN,GILCAP,COLLIN,CLAPUR,COLLOM,LACTUCA,SHEARV,GERANIUM,LEUVUL,CERGLO,LATHVIC,MYOSOTIS,TRIFOLIUM,ERILAN,DAUCAR,A,B,C,D,E,F,G,sedge,LINBIE,VERARV,DICCON,ACMAME
WIR,DIVERSE,6,D3,0,0,0,1,0,0,6,0,4,0,0,0,4,0,3,0,0,0,3,2,0,1,0,2,0,0,,,,
WIR,DIVERSE,6,E3,0,1,0,0,1,0,3,0,6,2,0,1,9,0,0,0,1,8,0,0,0,0,0,4,0,0,,,,
WIR,DIVERSE,6,A4,0,7,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,6,B4,0,40,0,0,2,0,8,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,,,,
WIR,DIVERSE,6,C4,0,69,1,4,2,0,5,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,6,D4,0,7,0,2,1,0,5,0,3,4,0,1,4,0,0,0,0,4,6,0,0,0,0,1,0,0,,,,
WIR,DIVERSE,6,E4,0,12,0,0,1,0,4,1,6,4,0,0,10,0,6,0,0,5,15,0,0,0,0,0,0,0,,1,,
WIR,DIVERSE,6,A5,0,19,0,0,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
WIR,DIVERSE,6,B5,0,21,0,3,2,0,5,0,0,0,0,0,1,0,0,0,0,2,3,1,0,0,0,0,0,0,,,,
WIR,DIVERSE,6,C5,0,55,0,4,3,1,4,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,6,D5,0,24,0,1,1,0,3,1,0,7,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,,,,
WIR,DIVERSE,6,E5,0,16,0,0,0,0,3,2,1,4,0,0,2,0,0,0,0,2,8,0,0,0,0,0,0,0,1,,,
WIR,DIVERSE,7,A1,0,10,1,1,0,0,6,2,0,0,0,0,0,0,2,0,0,7,3,0,0,7,0,4,0,0,,1,,
WIR,DIVERSE,7,B1,0,18,0,3,7,2,5,2,0,1,0,0,1,0,0,0,0,7,0,0,0,2,0,0,0,0,,2,,
WIR,DIVERSE,7,C1,0,15,0,3,2,8,10,1,2,1,1,0,4,0,2,0,0,9,0,0,0,0,0,0,0,0,,2,,
WIR,DIVERSE,7,D1,0,9,1,6,4,6,9,2,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,,1,,
WIR,DIVERSE,7,E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,7,A2,0,3,0,2,0,0,5,0,0,1,0,0,2,0,0,0,0,4,0,0,1,2,0,0,0,0,,2,,4
WIR,DIVERSE,7,B2,0,9,1,4,1,1,8,0,0,2,0,1,0,0,0,0,0,2,0,2,0,1,0,0,0,0,,2,,
WIR,DIVERSE,7,C2,0,15,0,1,0,0,5,0,1,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,2
WIR,DIVERSE,7,D2,0,6,0,1,0,1,7,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,1
WIR,DIVERSE,7,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,7,A3,0,7,0,1,0,1,9,0,0,3,0,0,4,0,1,0,0,5,0,0,0,0,0,0,0,0,,1,,
WIR,DIVERSE,7,B3,0,14,0,5,2,1,15,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,,,,
WIR,DIVERSE,7,C3,0,11,1,1,1,1,7,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,2
WIR,DIVERSE,7,D3,0,4,0,0,0,0,4,0,5,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,7,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,7,A4,0,1,0,0,0,0,5,0,2,1,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,7,B4,0,8,0,3,1,0,6,2,2,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,,,,
WIR,DIVERSE,7,C4,0,15,0,0,0,0,12,0,1,4,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,,,,
WIR,DIVERSE,7,D4,0,13,0,0,0,0,9,0,3,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,,4,,
WIR,DIVERSE,7,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,7,A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,7,B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,7,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,7,D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,7,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,A1,0,31,0,2,3,4,4,0,0,0,0,0,1,0,0,0,0,2,2,1,0,1,0,0,0,0,,1,,
WIR,DIVERSE,8,B1,0,26,0,7,4,5,12,0,1,0,0,1,2,1,0,0,0,5,0,0,0,0,0,0,0,0,,2,,
WIR,DIVERSE,8,C1,0,17,0,1,0,2,11,3,3,0,0,0,0,0,7,0,0,5,0,0,0,1,0,0,0,0,,,,
WIR,DIVERSE,8,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,A3,0,30,0,4,3,2,12,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,,3,,
WIR,DIVERSE,8,B3,0,40,1,7,3,3,3,0,0,0,0,0,1,0,0,0,0,7,2,0,0,0,0,0,0,0,,2,,
WIR,DIVERSE,8,C3,0,35,0,4,2,2,4,0,3,0,0,0,0,1,3,0,0,2,1,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,8,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,A4,0,67,0,5,2,2,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,,,,
WIR,DIVERSE,8,B4,0,28,0,3,4,4,2,1,0,5,0,0,0,2,0,0,0,7,0,2,0,0,0,0,1,0,,4,,
WIR,DIVERSE,8,C4,0,36,3,0,2,4,4,0,0,0,0,1,3,0,2,0,0,15,0,0,0,0,0,0,0,0,,3,,1
WIR,DIVERSE,8,D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,8,A5,0,13,0,1,2,0,11,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,0,0,0,0,,,,
WIR,DIVERSE,8,B5,0,28,0,3,3,5,9,0,0,0,0,0,1,1,0,0,0,14,0,2,0,1,0,0,0,0,,2,,
WIR,DIVERSE,8,C5,0,2,4,5,6,10,14,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,0,,,,1
WIR,DIVERSE,8,D5,0,34,1,0,0,2,9,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,
WIR,DIVERSE,8,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,9,A1,0,1,0,3,1,2,15,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,9,B1,1,0,0,1,0,0,10,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,9,C1,0,3,0,0,0,2,19,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,9,D1,1,1,0,1,1,0,17,1,0,0,0,0,0,3,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2
WIR,DIVERSE,9,E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,9,A2,0,9,0,1,0,2,20,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,9,B2,0,12,0,2,0,0,15,2,0,0,0,0,0,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,9,C2,0,12,0,0,2,1,18,1,0,0,0,0,0,4,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,9,D2,0,6,0,1,2,3,12,3,1,1,0,0,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,9,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,9,A3,0,20,0,2,3,1,8,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,9,B3,0,1,0,1,0,1,16,1,0,2,0,0,0,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
WIR,DIVERSE,9,C3,0,0,0,1,0,0,25,0,0,0,0,0,0,3,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,9,D3,0,0,1,0,2,1,13,1,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
WIR,DIVERSE,9,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,9,A4,0,0,1,1,4,6,16,2,2,2,0,1,2,1,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,0
WIR,DIVERSE,9,B4,0,0,0,0,1,2,18,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1
WIR,DIVERSE,9,C4,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
WIR,DIVERSE,9,D4,0,0,0,0,0,1,16,0,0,2,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
WIR,DIVERSE,9,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,9,A5,0,3,0,0,2,5,0,7,1,3,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0
WIR,DIVERSE,9,B5,0,11,0,0,2,13,1,1,0,0,0,0,0,0,0,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0
WIR,DIVERSE,9,C5,0,0,0,0,0,0,22,0,5,0,0,0,0,0,4,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0
WIR,DIVERSE,9,D5,0,1,0,0,0,0,9,0,0,1,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,9,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,A1,0,5,0,2,2,0,15,0,1,4,0,0,0,2,1,0,0,8,2,0,1,2,0,0,0,0,0,0,0,0
WIR,DIVERSE,10,B1,0,5,0,1,1,1,15,1,0,1,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,10,C1,0,0,0,0,0,1,11,3,1,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,10,D1,0,0,0,0,0,2,26,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,10,E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,A2,0,4,0,2,1,0,15,3,1,2,0,0,1,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0
WIR,DIVERSE,10,B2,0,1,0,0,1,4,17,3,1,5,0,0,0,0,0,0,0,3,0,1,1,3,0,0,0,0,0,0,0,0
WIR,DIVERSE,10,C2,0,0,0,0,2,0,10,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,10,D2,0,1,0,0,0,0,9,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,10,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,A3,0,6,0,1,2,2,26,1,1,2,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,10,B3,0,5,0,0,1,1,30,6,0,1,0,0,0,0,1,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0
WIR,DIVERSE,10,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,A4,0,10,1,1,4,4,26,5,0,2,0,0,0,0,3,0,0,7,1,1,0,1,0,0,0,0,0,0,0,0
WIR,DIVERSE,10,B4,1,2,0,1,2,0,33,0,0,0,1,0,0,1,1,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,10,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,A5,0,1,0,0,4,5,16,4,2,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
WIR,DIVERSE,10,B5,0,1,0,0,2,2,37,0,0,3,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,10,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,10,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,11,A1,0,0,0,2,0,0,12,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0
WIR,DIVERSE,11,B1,0,5,0,0,3,0,26,6,1,2,0,0,2,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,11,C1,0,9,0,0,2,3,12,7,0,0,0,0,0,3,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,11,D1,0,9,0,1,0,0,13,2,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,11,E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,11,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,11,B2,0,1,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,11,C2,0,0,0,0,0,0,14,4,1,1,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
WIR,DIVERSE,11,D2,0,3,0,0,0,1,15,7,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
WIR,DIVERSE,11,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,11,A3,0,4,0,0,0,0,13,0,0,0,0,0,0,2,1,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0
WIR,DIVERSE,11,B3,0,0,0,0,0,0,18,4,2,1,0,0,0,1,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1
WIR,DIVERSE,11,C3,0,1,0,0,1,0,14,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
WIR,DIVERSE,11,D3,0,2,0,0,0,1,12,4,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,11,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,11,A4,0,4,0,0,0,0,12,2,0,1,0,0,2,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0
WIR,DIVERSE,11,B4,0,0,0,0,0,0,19,0,1,2,1,0,0,2,0,0,2,0,0,3,0,2,0,0,0,0,0,5,0,0
WIR,DIVERSE,11,C4,0,1,2,1,0,0,17,2,0,4,1,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,11,D4,0,0,0,0,0,0,14,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,11,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,11,A5,0,16,0,0,0,0,12,0,0,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WIR,DIVERSE,11,B5,0,8,2,0,0,3,29,6,0,1,0,0,0,0,0,0,0,8,0,1,0,2,0,0,0,0,0,1,0,0
WIR,DIVERSE,11,C5,0,4,0,0,0,2,15,3,2,4,0,0,0,4,0,0,0,14,0,0,4,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,11,D5,0,0,0,0,0,0,14,1,0,0,0,0,0,7,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0
WIR,DIVERSE,11,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,12,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,